"","course_code","title","credits","department","course_number"
"1","AEIS 101","Introductory Academic Oral Communication","4","AEIS","101"
"2","AEIS 102","Advanced Academic Oral Communication","4","AEIS","102"
"3","AEIS 107","Reading Academic Discourse","4","AEIS","107"
"4","AEIS 108","Advanced Reading Academic Discourse","4","AEIS","108"
"5","AEIS 110","Introductory Academic Writing","4","AEIS","110"
"6","AEIS 111","Intermediate Academic Writing","4","AEIS","111"
"7","AEIS 112","Advanced Academic Writing","4","AEIS","112"
"8","AEIS 199","Special Studies: [Topic]","1-5","AEIS","199"
"9","ACTG 199","Special Studies: [Topic]","1-5","ACTG","199"
"10","ACTG 340","Accounting for Entrepreneurs","4","ACTG","340"
"11","ACTG 350","Intermediate Accounting I","4","ACTG","350"
"12","ACTG 351","Intermediate Accounting II","4","ACTG","351"
"13","ACTG 352","Intermediate Accounting III","4","ACTG","352"
"14","ACTG 360","Cost Accounting","4","ACTG","360"
"15","ACTG 401","Research: [Topic]","1-21","ACTG","401"
"16","ACTG 403","Thesis","1-12","ACTG","403"
"17","ACTG 405","Reading and Conference: [Topic]","1-12","ACTG","405"
"18","ACTG 406","Practicum: [Topic]","1-12","ACTG","406"
"19","ACTG 407","Seminar: [Topic]","4","ACTG","407"
"20","ACTG 408","Workshop: [Topic]","1-21","ACTG","408"
"21","ACTG 409","Terminal Project","1-12","ACTG","409"
"22","ACTG 410","Experimental Course: [Topic]","1-4","ACTG","410"
"23","ACTG 425","Professional Ethics for Accountants","4","ACTG","425"
"24","ACTG 440","Auditing","4","ACTG","440"
"25","ACTG 450","Advanced Financial Accounting","4","ACTG","450"
"26","ACTG 460","Government & Not for Profit Accounting","4","ACTG","460"
"27","ACTG 470","Federal Taxation","4","ACTG","470"
"28","ACTG 480","Accounting Data Analytics I","4","ACTG","480"
"29","AFR 196","Field Studies: [Topic]","1-5","AFR","196"
"30","AFR 198","Workshop: [Topic]","1-5","AFR","198"
"31","AFR 199","Special Studies: [Topic]","1-5","AFR","199"
"32","AFR 215","Introduction to African Studies","4","AFR","215"
"33","AFR 399","Special Studies: [Topic]","1-5","AFR","399"
"34","AFR 401","Research: [Topic]","1-12","AFR","401"
"35","AFR 403","Thesis","1-12","AFR","403"
"36","AFR 404","Internship: [Topic]","1-12","AFR","404"
"37","AFR 405","Reading and Conference: [Topic]","1-12","AFR","405"
"38","AFR 406","Field Studies: [Topic]","1-12","AFR","406"
"39","AFR 407","Seminar: [Topic]","1-5","AFR","407"
"40","AFR 408","Workshop: [Topic]","1-12","AFR","408"
"41","AFR 409","Terminal Project","1-12","AFR","409"
"42","AFR 410","Experimental Course","1-5","AFR","410"
"43","ASL 101","First-Year American Sign Language","5","ASL","101"
"44","ASL 102","First-Year American Sign Language","5","ASL","102"
"45","ASL 103","First-Year American Sign Language","5","ASL","103"
"46","ASL 201","Second-Year American Sign Language","4","ASL","201"
"47","ASL 202","Second-Year American Sign Language","4","ASL","202"
"48","ASL 203","Second-Year American Sign Language","4","ASL","203"
"49","ASL 301","American Deaf Culture","4","ASL","301"
"50","ASL 399","Special Studies: [Topic]","1-5","ASL","399"
"51","ANTH 110","Introduction to Traditional Ecological Knowledge","4","ANTH","110"
"52","ANTH 114","Anthropology of Pirates and Piracy","4","ANTH","114"
"53","ANTH 119","Anthropology and Aliens","4","ANTH","119"
"54","ANTH 145","Principles of Archaeology","4","ANTH","145"
"55","ANTH 150","World Archaeology","4","ANTH","150"
"56","ANTH 161","Introduction to Cultural Anthropology","4","ANTH","161"
"57","ANTH 163","Origins of Storytelling","4","ANTH","163"
"58","ANTH 165","Sexuality and Culture","4","ANTH","165"
"59","ANTH 170","Introduction to Human Origins","4","ANTH","170"
"60","ANTH 171","Introduction to Monkeys and Apes","4","ANTH","171"
"61","ANTH 173","Evolution of Human Sexuality","4","ANTH","173"
"62","ANTH 175","Evolutionary Medicine","4","ANTH","175"
"63","ANTH 176","Introduction to Forensic Anthropology","4","ANTH","176"
"64","ANTH 196","Field Studies: [Topic]","1-2","ANTH","196"
"65","ANTH 198","Laboratory Projects: [Topic]","1-12","ANTH","198"
"66","ANTH 199","Special Studies: [Topic]","1-5","ANTH","199"
"67","ANTH 199L","Special Studies: [Topic]","4","ANTH","199L"
"68","ANTH 209","Business Anthropology","4","ANTH","209"
"69","ANTH 220","Introduction to Nutritional Anthropology","4","ANTH","220"
"70","ANTH 255","Atlantis, Aliens, and Archaeology","4","ANTH","255"
"71","ANTH 260","Domestic Animals","4","ANTH","260"
"72","ANTH 270","Introduction to Biological Anthropology","4","ANTH","270"
"73","ANTH 274","Animals and People","4","ANTH","274"
"74","ANTH 278","Science, Race, and Society","4","ANTH","278"
"75","ANTH 311","Anthropology of Globalization","4","ANTH","311"
"76","ANTH 315","Gender, Folklore, Inequality","4","ANTH","315"
"77","ANTH 320","Native North Americans","4","ANTH","320"
"78","ANTH 329","Immigration and Farmworkers","4","ANTH","329"
"79","ANTH 330","Hunters and Gatherers","4","ANTH","330"
"80","ANTH 331","Cultures of India and South Asia","4","ANTH","331"
"81","ANTH 332","Human Attraction and Mating Strategies","4","ANTH","332"
"82","ANTH 340","Fundamentals of Archaeology","4","ANTH","340"
"83","ANTH 341","Food Origins","4","ANTH","341"
"84","ANTH 342","Archaeology of Egypt and Near East","4","ANTH","342"
"85","ANTH 343","Pacific Islands Archaeology","4","ANTH","343"
"86","ANTH 344","Oregon Archaeology","4","ANTH","344"
"87","ANTH 345","Archaeology of East Asia","4","ANTH","345"
"88","ANTH 346","Archaeology of Southeast Asia","4","ANTH","346"
"89","ANTH 349","Origins of Art","4","ANTH","349"
"90","ANTH 361","Human Evolution","4","ANTH","361"
"91","ANTH 362","Human Biological Variation","4","ANTH","362"
"92","ANTH 365","Food and Culture","4","ANTH","365"
"93","ANTH 366","Human Osteology Laboratory","4","ANTH","366"
"94","ANTH 369","Human Growth and Development","4","ANTH","369"
"95","ANTH 373","Psychoactive Substances in Ancient Societies","4","ANTH","373"
"96","ANTH 376","Decoding Your Genome","4","ANTH","376"
"97","ANTH 399","Special Studies: [Topic]","1-5","ANTH","399"
"98","ANTH 399L","Special Studies: [Topic]","4","ANTH","399L"
"99","ANTH 400M","Temporary Multilisted Course","1-5","ANTH","400M"
"100","ANTH 401","Research: [Topic]","1-21","ANTH","401"
"101","ANTH 403","Thesis","1-12","ANTH","403"
"102","ANTH 405","Special Problems: [Topic]","1-12","ANTH","405"
"103","ANTH 406","Field Studies: [Topic]","1-12","ANTH","406"
"104","ANTH 407","Seminar: [Topic]","1-5","ANTH","407"
"105","ANTH 408","Workshop: [Topic]","1-21","ANTH","408"
"106","ANTH 409","Terminal Project","1-12","ANTH","409"
"107","ANTH 410","Experimental Course: [Topic]","1-5","ANTH","410"
"108","ANTH 417","Field Methods in Cultural Anthropology","4","ANTH","417"
"109","ANTH 420","Culture, Illness, and Healing","4","ANTH","420"
"110","ANTH 425","Migrant, Citizen, Refugee","4","ANTH","425"
"111","ANTH 427M","Latino Roots I","4","ANTH","427M"
"112","ANTH 428M","Latino Roots II","4","ANTH","428M"
"113","ANTH 434","Indigenous Peoples of South America","4","ANTH","434"
"114","ANTH 438","Race and Gender in Latin America","4","ANTH","438"
"115","ANTH 441","Recent Cultural Theory","4","ANTH","441"
"116","ANTH 442","Northwest Coast Archaeology","4","ANTH","442"
"117","ANTH 446","Practical Archaeobotany","4","ANTH","446"
"118","ANTH 448","Gender and Archaeology","4","ANTH","448"
"119","ANTH 449","Cultural Resource Management","4","ANTH","449"
"120","ANTH 453","African Archaeology","4","ANTH","453"
"121","ANTH 456","Peopling of the Americas","4","ANTH","456"
"122","ANTH 459","Advanced Evolutionary Medicine","4","ANTH","459"
"123","ANTH 463","Primate Behavior","4","ANTH","463"
"124","ANTH 467","Paleoecology and Human Evolution","4","ANTH","467"
"125","ANTH 470","Statistical Analysis of Biological Anthropology","4","ANTH","470"
"126","ANTH 471","Zooarchaeology: [Topic]","4","ANTH","471"
"127","ANTH 472","Primate Conservation Biology","4","ANTH","472"
"128","ANTH 473","Advanced Forensic Anthropology","4","ANTH","473"
"129","ANTH 475","Regarding Remains","4","ANTH","475"
"130","ANTH 479","Taphonomy: Bones, Bugs, and Burials","4","ANTH","479"
"131","ANTH 481","Principles of Evolutionary Psychology","4","ANTH","481"
"132","ANTH 487","Bioanthropology Methods","4","ANTH","487"
"133","ARB 101","First-Year Arabic","5","ARB","101"
"134","ARB 102","First-Year Arabic","5","ARB","102"
"135","ARB 103","First-Year Arabic","5","ARB","103"
"136","ARB 199","Special Studies: [Topic]","1-10","ARB","199"
"137","ARB 301","Language and Culture I","4","ARB","301"
"138","ARB 302","Language and Culture II","4","ARB","302"
"139","ARB 303","Language and Culture III","4","ARB","303"
"140","ARB 331","Reading Classical Arabic","4","ARB","331"
"141","ARB 353","Arab Cinema","4","ARB","353"
"142","ARB 399","Special Studies: [Topic]","1-5","ARB","399"
"143","ARB 405","Reading and Conference: [Topic]","1-5","ARB","405"
"144","ARB 406","Practicum: [Topic]","1-12","ARB","406"
"145","ARB 407","Seminar: [Topic]","1-5","ARB","407"
"146","ARB 409","Terminal Project","1-12","ARB","409"
"147","ARB 410","Experimental Course: [Topic]","1-5","ARB","410"
"148","ARCH 196","Field Studies: [Topic]","1-12","ARCH","196"
"149","ARCH 198","Workshop: [Topic]","1-3","ARCH","198"
"150","ARCH 199","Special Studies: [Topic]","1-5","ARCH","199"
"151","ARCH 201","Introduction to Architecture","4","ARCH","201"
"152","ARCH 202","Design Skills","3","ARCH","202"
"153","ARCH 222","Introduction to Architectural Computer Graphics","4","ARCH","222"
"154","ARCH 283","Architectural Design I","6","ARCH","283"
"155","ARCH 284","Architectural Design II","6","ARCH","284"
"156","ARCH 383","Architectural Design III","6","ARCH","383"
"157","ARCH 384","Architectural Design IV","6","ARCH","384"
"158","ARCH 399","Special Studies: [Topic]","1-6","ARCH","399"
"159","ARCH 400M","Temporary Multilisted Course","1-5","ARCH","400M"
"160","ARCH 401","Research: [Topic]","1-6","ARCH","401"
"161","ARCH 403","Thesis","1-9","ARCH","403"
"162","ARCH 404","Internship: [Topic]","1-12","ARCH","404"
"163","ARCH 405","Special Problems: [Topic]","1-12","ARCH","405"
"164","ARCH 406","Practicum: [Topic]","1-12","ARCH","406"
"165","ARCH 407","Seminar: [Topic]","1-6","ARCH","407"
"166","ARCH 408","Workshop: [Topic]","1-6","ARCH","408"
"167","ARCH 409","Terminal Project","1-12","ARCH","409"
"168","ARCH 410","Experimental Course: [Topic]","1-6","ARCH","410"
"169","ARCH 410L","Experimental Course: [Topic]","1-6","ARCH","410L"
"170","ARCH 417","Context of the Architectural Profession","4","ARCH","417"
"171","ARCH 423","Media for Design Development: [Topic]","3","ARCH","423"
"172","ARCH 425","Building Information Modeling","3","ARCH","425"
"173","ARCH 430","Architectural Contexts: Place and Culture","4","ARCH","430"
"174","ARCH 431","Community Design","3","ARCH","431"
"175","ARCH 435","Principles of Urban Design","4","ARCH","435"
"176","ARCH 437","Theory of Urban Design II","3","ARCH","437"
"177","ARCH 438","Housing Prototypes","3","ARCH","438"
"178","ARCH 439","Minimal Dwelling","3","ARCH","439"
"179","ARCH 440","Human Context of Design","4","ARCH","440"
"180","ARCH 450","Spatial Composition","4","ARCH","450"
"181","ARCH 458","Types and Typology","3","ARCH","458"
"182","ARCH 461","Structural Behavior","6","ARCH","461"
"183","ARCH 462","Structural Design","6","ARCH","462"
"184","ARCH 470","Building Construction","4","ARCH","470"
"185","ARCH 471","Building Enclosure","4","ARCH","471"
"186","ARCH 473","Advanced Mass Timber Design","4","ARCH","473"
"187","ARCH 474","Design the Unseen: [Topic]","4","ARCH","474"
"188","ARCH 476","Residential Construction","4","ARCH","476"
"189","ARCH 480","Supervised Design Teaching","1-3","ARCH","480"
"190","ARCH 484","Architectural Design","6","ARCH","484"
"191","ARCH 485","Advanced Architectural Design I","8","ARCH","485"
"192","ARCH 486","Advanced Architectural Design II","8","ARCH","486"
"193","ARCH 491","Environmental Control Systems I","4","ARCH","491"
"194","ARCH 492","Environmental Control Systems II","4","ARCH","492"
"195","ARCH 493M","Passive Cooling","4","ARCH","493M"
"196","ARCH 494M","Passive Heating","4","ARCH","494M"
"197","ARCH 495","Daylighting","3","ARCH","495"
"198","ARCH 496","Passive House Design and Details","4","ARCH","496"
"199","ARCH 498","High Performance Buildings Design: [Topic]","4","ARCH","498"
"200","ART 101","Understanding Contemporary Art","4","ART","101"
"201","ART 111","The Artist Experience","4","ART","111"
"202","ART 115","Surface, Space, and Time","4","ART","115"
"203","ART 116","Core Interdisciplinary Laboratory","4","ART","116"
"204","ART 198","Technical Workshop: [Topic]","1-3","ART","198"
"205","ART 199","Special Studies: [Topic]","1-5","ART","199"
"206","ART 233","Drawing I","4","ART","233"
"207","ART 333","Drawing II","4","ART","333"
"208","ART 381","Letterpress","4","ART","381"
"209","ART 401","Research: [Topic]","1-12","ART","401"
"210","ART 404","Internship: [Topic]","1-12","ART","404"
"211","ART 405","Special Problems: [Topic]","1-12","ART","405"
"212","ART 406","Practicum: [Topic]","1-12","ART","406"
"213","ART 407","Seminar: [Topic]","1-4","ART","407"
"214","ART 408","Workshop: [Topic]","1-6","ART","408"
"215","ART 409","Terminal Project","1-12","ART","409"
"216","ART 410","Experimental Course: [Topic]","1-6","ART","410"
"217","ART 412","BFA Critique","3","ART","412"
"218","ARH 150","Introduction to Visual Culture","4","ARH","150"
"219","ARH 199","Special Studies: [Topic}","1-5","ARH","199"
"220","ARH 204","Ancient Mediterranean Art","4","ARH","204"
"221","ARH 205","Mediterranean Renaissance European Art","4","ARH","205"
"222","ARH 206","History of Western Art III","4","ARH","206"
"223","ARH 208","History of Chinese Art","4","ARH","208"
"224","ARH 209","History of Japanese Art","4","ARH","209"
"225","ARH 211","Survey of Latin American Arts","4","ARH","211"
"226","ARH 314","History of World Architecture I","4","ARH","314"
"227","ARH 315","History of World Architecture II","4","ARH","315"
"228","ARH 316","Gothic Architecture","4","ARH","316"
"229","ARH 317","Romanesque Architecture","4","ARH","317"
"230","ARH 321","Ancient Jewish Art","4","ARH","321"
"231","ARH 322","Ancient Greek Art and Architecture","4","ARH","322"
"232","ARH 323","Roman Art & Architecture","4","ARH","323"
"233","ARH 325","Islamic Art & Architecture","4","ARH","325"
"234","ARH 327","Medieval Art","4","ARH","327"
"235","ARH 341","Italian Renaissance Art","4","ARH","341"
"236","ARH 343","Northern Renaissance Art","4","ARH","343"
"237","ARH 350","History of Manga","4","ARH","350"
"238","ARH 351","19th Century Art","4","ARH","351"
"239","ARH 352","Art of the Enlightenment","4","ARH","352"
"240","ARH 353","Modern Art 1880 to 1950","4","ARH","353"
"241","ARH 354","Contemporary Art","4","ARH","354"
"242","ARH 358","History of Design","4","ARH","358"
"243","ARH 359","History of Photography","4","ARH","359"
"244","ARH 368","Arts and Visual Cultures of Climate Change","4","ARH","368"
"245","ARH 372","Arts of Colonial Latin America","4","ARH","372"
"246","ARH 373","20th Century Latin American Art","4","ARH","373"
"247","ARH 382","Arts of the Silk Road","4","ARH","382"
"248","ARH 387","Chinese Buddhist Art","4","ARH","387"
"249","ARH 399","Special Studies: [Topic]","1-5","ARH","399"
"250","ARH 401","Research: [Topic]","1-8","ARH","401"
"251","ARH 403","Thesis","1-6","ARH","403"
"252","ARH 404","Internship: [Topic]","1-5","ARH","404"
"253","ARH 405","Reading and Conference: [Topic]","1-5","ARH","405"
"254","ARH 406","Practicum: [Topic]","1-12","ARH","406"
"255","ARH 407","Seminar: [Topic]","1-5","ARH","407"
"256","ARH 408","Workshop: [Topic]","1-5","ARH","408"
"257","ARH 409","Terminal Project","1-12","ARH","409"
"258","ARH 410","Experimental Course: [Topic]","1-5","ARH","410"
"259","ARH 411","Critical Approaches to Art Historical Study","4","ARH","411"
"260","ARH 421","Ancient Mediterranean Art: [Topic]","4","ARH","421"
"261","ARH 425","Medieval Art and Architecture: [Topic]","4","ARH","425"
"262","ARH 440","Museology","4","ARH","440"
"263","ARH 450","Romanticism in the Visual Arts","4","ARH","450"
"264","ARH 451","Studies in 19th Century Art: [Topic]","4","ARH","451"
"265","ARH 453","Modern Art: [Topic]","4","ARH","453"
"266","ARH 456","World Architecture Since 1960","4","ARH","456"
"267","ARH 457","Contemporary Art: [Topic]","4","ARH","457"
"268","ARH 462","Modern Architecture","4","ARH","462"
"269","ARH 465","American Architecture II","4","ARH","465"
"270","ARH 466","American Architecture III","4","ARH","466"
"271","ARH 471","Latin American Art History: [Topic]","4","ARH","471"
"272","ARH 481","Chinese Art: [Topic]","4","ARH","481"
"273","ARH 485","Japanese Art: [Topic]","4","ARH","485"
"274","ARH 488","Japanese Prints","4","ARH","488"
"275","ARTD 198","Technical Workshop: [Topic]","1-3","ARTD","198"
"276","ARTD 199","Special Studies: [Topic]","1-5","ARTD","199"
"277","ARTD 250","Print Media Digital Arts","4","ARTD","250"
"278","ARTD 251","Time-Based Digital Arts","4","ARTD","251"
"279","ARTD 252","Interactive Digital Arts","4","ARTD","252"
"280","ARTD 256","Introduction to Production","4","ARTD","256"
"281","ARTD 350","Digital Drawing","4","ARTD","350"
"282","ARTD 360","Digital Imaging","4","ARTD","360"
"283","ARTD 361","Introduction to Animation","4","ARTD","361"
"284","ARTD 362","Digital Letterform","4","ARTD","362"
"285","ARTD 370","Digital Interactivity","4","ARTD","370"
"286","ARTD 378","Computational Aesthetics","5","ARTD","378"
"287","ARTD 379","Introduction to Video Art","4","ARTD","379"
"288","ARTD 401","Research: [Topic]","1-12","ARTD","401"
"289","ARTD 404","Internship: [Topic]","1-12","ARTD","404"
"290","ARTD 405","Special Problems: [Topic]","1-12","ARTD","405"
"291","ARTD 406","Practicum: [Topic]","1-12","ARTD","406"
"292","ARTD 407","Seminar: [Topic]","1-4","ARTD","407"
"293","ARTD 408","Workshop: [Topic]","1-6","ARTD","408"
"294","ARTD 409","Terminal Creative Project BFA","1-12","ARTD","409"
"295","ARTD 410","Experimental Course: [Topic]","1-6","ARTD","410"
"296","ARTD 412","Experimental Animation","5","ARTD","412"
"297","ARTD 413","Emerging Technologies","5","ARTD","413"
"298","ARTD 415","Video Art: Experimental Film","4","ARTD","415"
"299","ARTD 463","Communication Design","4","ARTD","463"
"300","ARTD 471","3-D Computer Imaging","5","ARTD","471"
"301","ARTD 472","3-D Computer Animation","5","ARTD","472"
"302","ARTD 490","Issues and Practices in Digital Arts","1-5","ARTD","490"
"303","ARTC 199","Special Studies: [Topic]","1-5","ARTC","199"
