code,title,credits,year,term,fulfill,prereq,term_code,label,color,identifier,identifier1
BI 121,Introduction to Human Physiology,4,1,Fall,"CDS: Area B, UO SC",,1,"BI 121 
 Introduction to Human Physiology",#489D46,1,Fall_1
WR 121,College Composition I,4,1,Fall,UO writing,,1,"WR 121 
 College Composition I",#489D46,2,Fall_2
,First term of first-year second-language sequence,5,1,Fall,UO lang,,1,First term of first-year second-language sequence,#489D46,3,Fall_3
,Elective course,4,1,Fall,,,1,Elective course,#489D46,4,Fall_4
MATH 243,Introduction to Methods of Probability and Statistics or other to fulfill Area B: Statistics,4,1,Winter,"CDS: Area B, UO SC",,2,"MATH 243 
 Introduction to Methods of Probability and Statistics or other to fulfill Area B: Statistics",#E2E11B,1,Winter_1
PHYS 152,Physics of Sound and Music,4,1,Winter,"CDS: Area B, UO SC",,2,"PHYS 152 
 Physics of Sound and Music",#E2E11B,2,Winter_2
WR 122,College Composition II,4,1,Winter,UO writing,WR 121,2,"WR 122 
 College Composition II",#E2E11B,3,Winter_3
,Second term of first-year second-language sequence,5,1,Winter,UO lang,,2,Second term of first-year second-language sequence,#E2E11B,4,Winter_4
PSY 202,Mind and Society,4,1,Spring,"CDS: Area B, UO SSC",,3,"PSY 202 
 Mind and Society",#8ABB40,1,Spring_1
,Third term of first-year second-language sequence,5,1,Spring,UO lang,,3,Third term of first-year second-language sequence,#8ABB40,2,Spring_2
,General education course in arts and letters,4,1,Spring,UO AL,,3,General education course in arts and letters,#8ABB40,3,Spring_3
,General education course in science,4,1,Spring,UO SC,,3,General education course in science,#8ABB40,4,Spring_4
CDS 201,Communication Disorders in Society and Media 1,4,2,Fall,CDS: Area A,,1,"CDS 201 
 Communication Disorders in Society and Media 1",#489D46,1,Fall_1
LING 150,Structure of English Words,4,2,Fall,"CDS: Area A, UO AL",,1,"LING 150 
 Structure of English Words",#489D46,2,Fall_2
,First term of second-year second-language sequence,4,2,Fall,UO lang,,1,First term of second-year second-language sequence,#489D46,3,Fall_3
,General education course in global perspectives,4,2,Fall,UO CL,,1,General education course in global perspectives,#489D46,4,Fall_4
